"","partial.name","regex","full.name"
"33"," Groupement Européen des Societés d'Auteurs et Compositeurs (GESAC)","groupement européen des societés d auteurs et compositeurs gesac","Groupement Européen des Sociétés d'Auteurs et Compositeurs (GESAC)"
"34"," Application Developers Alliance","application developers alliance","Application Developers Alliance (Developers Alliance)"
"35"," Computer & Communication Industry Association (CCIA)","computer communication industry association ccia","Computer & Communications Industry Association (CCIA)"
"36"," Global Network Initiative (GNI)","global network initiative gni","Global Network Initiative (GNI)"
"37"," YouTube","youtube",""
"38"," Match Group","match group","Meetic Group, A Match Group Company"
"39"," Deutscher Städtetag","deutscher städtetag","Verband Deutscher Bürgschaftsbanken e.V. (VDB)"
"40"," ITI - The Information Technology Industry Council","iti the information technology industry council","ITI - The Information Technology Industry Council (ITI)"
"41"," Center for Democracy & Technology (CDT)","center for democracy technology cdt","Center for Democracy & Technology (CDT)"
"42"," Google","google","Google"
"43"," Trustpilot","trustpilot","Trustpilot"
"44"," Bureau Européen des Unions de Consommateurs (BEUC)","bureau européen des unions de consommateurs beuc","Bureau Européen des Unions de Consommateurs (BEUC)"
"45"," Nielsen Holdings","nielsen holdings","Nielsen Holdings (Nielsen)"
"46"," European Publishers Council (EPC)","european publishers council epc","European Publishers Council (EPC)"
"47"," Interactive Advertising Bureau Europe (IAB Europe)","interactive advertising bureau europe iab europe","Interactive Advertising Bureau Europe (IAB Europe)"
"48"," Mozilla Corporation","mozilla corporation","Mozilla Corporation"
"49"," European Tech Alliance (EUTA)","european tech alliance euta","European Tech Alliance (EUTA)"
"50"," News Media Europe (NME)","news media europe nme","News Media Europe (NME)"
"51"," Article 19","article 19","ARTICLE 19"
"52"," Snap","snap","Snap, Inc."
"53"," Inc.","inc","MSD (Europe), Inc. (Merck Sharp & Dohme) (MSD)"
"54"," Electronic Frontier Foundation","electronic frontier foundation","Electronic Frontier Foundation (EFF)"
"55"," European Digital Rights (EDRi)","european digital rights edri","European Digital Rights (EDRi)"
"56"," Redecentralize","redecentralize",""
"57"," University of Sussex","university of sussex","European Association of Paritarian Institutions of Social Protection (AEIP)"
"58"," Bundesarbeitskammer Österreich","bundesarbeitskammer österreich","Bundesarbeitskammer Österreich (BAK)"
"59"," AIM (European Brands Association)","aim european brands association","AIM European Brands Association (AIM)"
"60"," United Internet AG","united internet ag","United Internet AG"
"61"," Wikimedia","wikimedia","Wikimedia Deutschland e.V. - Gesellschaft zur Förderung Freien Wissens (WMDE)"
"62"," European Digital Rights","european digital rights","European Digital Rights (EDRi)"
"63","Accountancy Europe","accountancy europe","Accountancy Europe"
"64"," 4713568401-18 ; Olivier Boutellis-Taft","4713568401 18 olivier boutellis taft",""
"65"," SME United","sme united","United European Gastroenterology (UEG)"
"66"," ACCA","acca","Association of Chartered Certified Accountants (ACCA)"
"67","ACEA","acea","Association des Constructeurs Européens d'Automobiles (ACEA)"
"68","ACT","act","Association of Commercial Television in Europe (ACT)"
"69","ACT Association of commercial television in Europe","act association of commercial television in europe","Association of Commercial Television in Europe (ACT)"
"70"," Association of Commercial Television in Europe","association of commercial television in europe","Association of Commercial Television in Europe (ACT)"
"71","ACTA","acta",""
"72","ACTE-Europlatforms","acte europlatforms","Asociación de Centros de Transporte de España (ACTE)"
"73","Acting Director DG COMP","acting director dg comp",""
"74","Action Aid","action aid","Climate Action Network Europe (CAN Europe)"
"75","ActionAid","actionaid","ActionAid Italia International Onlus (AA IT)"
"76","Active Citizenship Network (ACN)","active citizenship network acn","European Network for Accreditation of Engineering Education (ENAEE)"
"77","Ad van Wijk","ad van wijk","Glavbolgarstroy Holding AD (GBS)"
"78","Adobe","adobe","Adobe Systems Benelux bv (Adobe)"
"79","Adrian Veale","adrian veale",""
"80"," Policy Officer European Commission Directorate-General for Education","policy officer european commission directorate general for education","European Network for Accreditation of Engineering Education (ENAEE)"
"81"," Youth","youth","European Youth Denmark (EUD)"
"82"," Sport and Culture","sport and culture","International Sport and Culture Association (ISCA)"
"83","Ads Insight SPRL 0859.848.976","ads insight sprl 0859 848 976","FMC Chemical sprl (FMC)"
"84","Advanced Accelerator Applications","advanced accelerator applications","Advanced Technology and Science Applications Centre (ATASAC)"
"85","AECC","aecc","Association for Emissions Control by Catalyst (AECC)"
"86","AEGIS","aegis","AEGIS Europe"
"87","AEPLA","aepla","Asociación empresarial para la protección de las plantas (Aepla)"
"88","AFCET (Association des femmes chefs d'entreprise)","afcet association des femmes chefs d entreprise","Association Française des Trésoriers d'Entreprise (AFTE)"
"89","AFD","afd",""
"90","AFEP","afep","Association Française des Entreprises Privées / French Association of Large Companies (AFEP)"
"91","AFEP Europe","afep europe","Airborne Wind Europe"
"92","Affordable Medicines","affordable medicines","Affordable Medicines Europe"
"93","Affordable Medicines Europe","affordable medicines europe","Affordable Medicines Europe"
"94","AFG - French Asset Management Association : Aloïs Thiant + Pierre Garrault","afg french asset management association aloïs thiant pierre garrault","Dutch Fund and Asset Management Association (DUFAS)"
"95","AFHYPAC","afhypac",""
"96","AFME","afme","Association for Financial Markets in Europe (AFME)"
"97","AFME (Association for Financial Markets in Europe","afme association for financial markets in europe","Association for Financial Markets in Europe (AFME)"
"98","Afore Consulting : Nicolas Reinhardt","afore consulting nicolas reinhardt","Zabala Innovation Consulting, S.A. (ZABALA)"
"99"," Constantine Arvanitis","constantine arvanitis",""
"100","African Union Commissioner for Social Affairs","african union commissioner for social affairs","Civil Liberties Union for Europe (Liberties)"
"101","AfriCo","africo",""
"102","Afrikagrupperna","afrikagrupperna",""
"103","AFRUIBANA","afruibana","ASSOCIATION DES PRODUCTEURS AFRICAINS DE BANANES ET AUTRES FRUITS (AFRUIBANA)"
"104","AG Wirtschaft und Energie Bundestag","ag wirtschaft und energie bundestag","Ausstellungs- und Messe-Ausschuss der Deutschen Wirtschaft e.V. (AUMA)"
"105","AGE Platform","age platform","AGE Platform Europe (AGE)"
"106"," COFACE Families Europe","coface families europe","Airborne Wind Europe"
"107","Agence Erasmus + France","agence erasmus france","Agence France-Presse (AFP)"
"108","Agence Erasmus+ France","agence erasmus france","Agence France-Presse (AFP)"
"109","Agence française de développement","agence française de développement","Agence de Développement Rural Europe et Territoires (ADRET)"
"110","Agence Magnussen","agence magnussen","Agence de Développement Rural Europe et Territoires (ADRET)"
"111","Agence Spatiale Européenne (ESA)","agence spatiale européenne esa","Fédération Européenne pour la Santé Animale et la Sécurité Sanitaire (FESASS)"
"112","Agences du Médicament (EMA)","agences du médicament ema","Les entreprises du médicament (Leem)"
"113"," Noel Wathion","noel wathion",""
"114"," Directeur exécutif adjoint","directeur exécutif adjoint",""
"115","AGET","aget",""
"116","Investment Migration Council ID 337639131420-09","investment migration council id 337639131420 09","Investment Migration Council (IMC)"
"117","Agnès Bénassy Quéré","agnès bénassy quéré",""
"118","Agora","agora",""
"119","Agora Energiewende Identification number: 321342621105-20","agora energiewende identification number 321342621105 20","The Number UK"
"120","AGPB","agpb","Association Générale des Producteurs de Blé et autres céréales (AGPB)"
"121"," AGPM","agpm",""
"122"," CGB","cgb",""
"123"," FOP","fop","Fédération française des producteurs d'Oléagineux et de Protéagineux (FOP)"
"124","Agrargenossenschaft ""Oberes Vogtland"" e.G.","agrargenossenschaft oberes vogtland e g","Barilla G. e R. Fratelli SpA"
"125","Agraset Agrargenossenschaften eG Naundorf","agraset agrargenossenschaften eg naundorf","DATEV eG"
"126","AhTop","ahtop","Association pour un Hébergement et un TOurisme Professionnels (AHTOP)"
"127","AIM","aim","Associazione Italiana Medici (AIM)"
"128","AIM European Brands Association (AIM)","aim european brands association aim","AIM European Brands Association (AIM)"
"129"," 1074382679-01","1074382679 01",""
"130"," the European Brands Manufacturers Association","the european brands manufacturers association","The Federation of European manufacturers of Cookware and cutlery (FEC)"
"131","AIMA - Alternative Investment Management Association : Marie-Adelaide deNicolay","aima alternative investment management association marie adelaide denicolay","The Alternative Investment Management Association Limited (AIMA)"
"132"," Jennifer Wood","jennifer wood","Estonian Forest and Wood Industries Association (EFWA)"
"133"," Sylvain Bouyon","sylvain bouyon",""
"134"," Kreab : Danny O'Connell","kreab danny o connell","TATE International, s.r.o. (TATE)"
"135","Aino Friman / Ministry of foreigh affairs / Finland","aino friman ministry of foreigh affairs finland","Bioenergia ry - Bioenergy Association of Finland (BEry)"
"136","AIR FRANCE","air france","Air France-KLM"
"137","Air France/KLM","air france klm","Air France-KLM"
"138","Air Quality Manager Transport & Environment","air quality manager transport environment","International Air Transport Association (IATA)"
"139","Airbnb","airbnb","Airbnb Ireland UC"
"140","AirBnB","airbnb","Airbnb Ireland UC"
"141","Malta Business Bureau (MBB)","malta business bureau mbb","Malta Business Foundation (MBF)"
"142","organization Asufn","organization asufn","World Organization of the Scout Movement - Bureau Européen du Scoutisme (WOSM)"
"143"," which defends consumer rights in Spain","which defends consumer rights in spain","B’Tselem – The Israeli Information Center for Human Rights in the Occupied Territories"
"144","International Betting Integrity Association","international betting integrity association","International Betting Integrity Association (IBIA)"
"145","ACT | The App Association","act the app association","ACT | The App Association (The App Association)"
"146","Emily O'Reily","emily o reily","TATE International, s.r.o. (TATE)"
"147"," European Ombudsman","european ombudsman","European Association of Paritarian Institutions of Social Protection (AEIP)"
"148","Mars Incorporated","mars incorporated","Mars Incorporated (Mars)"
"149","European Council of Engineers´ Chambers (ECEC) AISBL","european council of engineers chambers ecec aisbl","European Council of Engineers Chambers (ECEC)"
"150","NOVE","nove","Nederlandse Organisatie Voor de Energiebranche (NOVE)"
"151","Priorities in cancer policy","priorities in cancer policy","Young Professionals in Foreign Policy (YPFP)"
"152","Vodafone Group","vodafone group","SAZKA Group a.s."
"153","FACE","face","Federation of Aluminium Consumers in Europe (FACE)"
"154","Expedia","expedia","Expedia Group (Expedia Group)"
"155","Cosmetics Europe","cosmetics europe","Cosmetics Europe"
"156","European Payment Institutions Federation (EPIF)","european payment institutions federation epif","European Payment Institutions Federation (EPIF)"
"157","Telefonica","telefonica","Telefonica, S.A."
"158","European Gaming and Betting Association (EGBA)","european gaming and betting association egba","European Gaming and Betting Association (EGBA)"
"159","EU40","eu40","EU40"
"160","European Capitals and Cities of Sport Federation","european capitals and cities of sport federation","European Capitals and Cities of Sport Federation (ACES Europe)"
"161","Motion Picture Association (MPA)","motion picture association mpa","Motion Picture Association EMEA (MPA EMEA)"
"162","Amazon","amazon","Amazon Europe Core SARL"
"163","LightingEurope","lightingeurope","LightingEurope (LE)"
"164","European Center for Human Rights","european center for human rights","European Center for Human Rights (ECHR)"
"165","European Centre for Democracy and Human Rights (ECDHR)","european centre for democracy and human rights ecdhr","European Centre for Democracy and Human Rights (ECDHR)"
"166","EuroHealthNet","eurohealthnet","EuroHealthNet"
"167","GSMA","gsma","GSMA Europe (GSMA Europe)"
"168","LVMH","lvmh","LVMH Publica (LVMH Publica)"
"169","Mozilla","mozilla","Mozilla Corporation"
"170","Facebook","facebook","Facebook Ireland Limited (FB-I)"
"171","Hotrec","hotrec","HOTREC, Hotels, Restaurants & Cafés in Europe (HOTREC)"
"172","CECRA","cecra","European Council for Motor Trades and Repairs (CECRA)"
"173"," the European Council for Motor Trades and Repairs","the european council for motor trades and repairs","European Council for Motor Trades and Repairs (CECRA)"
"174","Federation of European Publishers","federation of european publishers","Federation of European Publishers (FEP-FEE)"
"175","SAA - the Society of Audiovisual Authors","saa the society of audiovisual authors","Society of Audiovisual Authors (SAA)"
"176","Alliance for Digital Trust (ACN)","alliance for digital trust acn","European Alliance for Georgia (EAFG)"
"177","AIRBUS","airbus","Airbus"
"178","Airbus","airbus","Airbus"
"179","European Fisheries Alliance","european fisheries alliance","European Fisheries Alliance (EUFA)"
"180","Friends of Europe","friends of europe","Friends of the Earth Europe (FoEE)"
"181","SaferGlobe","saferglobe",""
"182","Mielenterveyspooli","mielenterveyspooli",""
"183","SAMOK- University of Applied Sciences Students in Finland","samok university of applied sciences students in finland","European Federation of Older Students in Universities (EFOS)"
"184","Helsinki EU office","helsinki eu office","Plan International EU Office (n.a.)"
"185","Metsäteollisuus ry","metsäteollisuus ry","Finnish Forest Industries Federation (Metsäteollisuus ry) (FFIF)"
"186","Search for Common Ground","search for common ground","Search for Common Ground (Search)"
"187","Finnish representation to the EU","finnish representation to the eu","Finnish trade union representation to the EU"
"188","Mental Health Europe","mental health europe","Mental Health Europe - Santé Mentale Europe (MHE-SME)"
"189","Osuustoimintakeskus Pellervo","osuustoimintakeskus pellervo",""
"190","Embassy of Moldova","embassy of moldova","European Association of Paritarian Institutions of Social Protection (AEIP)"
"191","AIRLINES","airlines","Association of Asia Pacific Airlines (AAPA)"
"192","Yleisradio","yleisradio","Yleisradio Oy (Yle)"
"193","Young Ecologists of Africa and Europe","young ecologists of africa and europe","International Association of Amusement Parks and Attractions - Europe, Middle East and Africa (IAAPA Europe)"
"194","European Peacebuilding Liaison Office (EPLO)","european peacebuilding liaison office eplo","European Peacebuilding Liaison Office (EPLO)"
"195","YOURATH - Youth Group of International Diabetes Federation of Europe","yourath youth group of international diabetes federation of europe","International Federation of Industrial Energy Consumers (IFIEC Europe)"
"196","European Partnership for Children and Youth in Peacebuilding network (EYBP)","european partnership for children and youth in peacebuilding network eybp","European Network for Copyright in Support of Education and Science (ENCES)"
"197","Federation of Young European Greens","federation of young european greens","Federation of Young European Greens (FYEG)"
"198","European Centre for Democracyand Human Rights (ECDHR)","european centre for democracyand human rights ecdhr","European Centre for Democracy and Human Rights (ECDHR)"
"199","Teknologiateollisuus","teknologiateollisuus","Technology Industries of Finland (Teknologiateollisuus ry)"
"200","European Youth Forum","european youth forum","Forum of European Muslim Youth and Student organisations (FEMYSO)"
"201","Front Line Defenders","front line defenders","Front Line Defenders (FLD)"
"202","Airlines For Europe","airlines for europe","Airlines for Europe (A4E)"
"203","Mieppi-keskus (facility for easily accessible mental healthcare services)","mieppi keskus facility for easily accessible mental healthcare services","Comeos for commerce and services (Comeos)"
"204","Council of Ministers (PCM) in Lebanon","council of ministers pcm in lebanon","Stichting European Council of Drug Helplines (FESAT)"
"205"," American University of Science and Technology in Lebanon","american university of science and technology in lebanon","European Network for Copyright in Support of Education and Science (ENCES)"
"206"," UKPM Government Communication Services in Lebanon","ukpm government communication services in lebanon","E3PO - European PPP Operating Companies in Infrastructure and Services (E3PO)"
"207","Friends of Rail Baltica","friends of rail baltica","National Society of Conservationists -Friends of the Earth Hungary (Magyar Termeszetvedok Szovetsege) (NSC-FoE Hu (MTVSZ))"
"208","European Health Parliament","european health parliament","The European Institute for Innovation through Health Data (i~HD)"
"209","ICAN Finland","ican finland","Bioenergia ry - Bioenergy Association of Finland (BEry)"
"210","Search for Common Ground | End Violent Conflict","search for common ground end violent conflict",""
"211","Stand With Hong Kong","stand with hong kong",""
"212","Musiikkituottajat - IFPI Finland ry","musiikkituottajat ifpi finland ry",""
"213","AUC","auc",""
"214","Väestöliitto (The Family Federation of Finland)","väestöliitto the family federation of finland",""
"215","FinUnions","finunions",""
"216","LO","lo",""
"217"," TCO","tco",""
"218"," SACO","saco",""
"219","Liberal Demokrati","liberal demokrati",""
"220","Liberal International","liberal international",""
"221","TCO","tco",""
"222","Diakonia","diakonia",""
"223","Svenskt Näringsliv","svenskt näringsliv",""
"224","Fores","fores",""
"225","Rädda Barnen","rädda barnen",""
"226","Sveriges ständiga representation vid Europeiska Unionen","sveriges ständiga representation vid europeiska unionen",""
"227","Sveriges Television","sveriges television",""
"228","TCO/Saco/LO","tco saco lo",""
"229","Sveriges ständiga representation vid Europeiska unionen","sveriges ständiga representation vid europeiska unionen",""
"230","European Liberal Forum (ELF)","european liberal forum elf",""
"231"," Laboratory of Initiatives for Development (LID Moldova)","laboratory of initiatives for development lid moldova",""
"232"," Friedrich Naumann Foundation for Freedom (FNF)","friedrich naumann foundation for freedom fnf",""
"233","Friedrich Naumann Foundation","friedrich naumann foundation",""
"234"," ALDE","alde",""
"235"," Council of Asian Liberals & Democrats","council of asian liberals democrats",""
"236","European Liberal Forum","european liberal forum",""
"237","Europeiska Kommissionen","europeiska kommissionen",""
"238","Europan Liberal Forum","europan liberal forum",""
"239","Gröna Arbetsgivare","gröna arbetsgivare",""
"240","Läkare i Världen","läkare i världen",""
"241","Human Rights Watch","human rights watch",""
"242","Fem i Tolv","fem i tolv",""
"243","UK Permanent Representation to the EU","uk permanent representation to the eu",""
"244","Arbetsförmedlingen","arbetsförmedlingen",""
"245","Iraks Representation till EU","iraks representation till eu",""
"246","Stockholms Stad","stockholms stad",""
"247"," Saco","saco",""
"248","Lundellska skolan","lundellska skolan",""
"249"," Uppsala","uppsala",""
"250","Söderslättsgymnasiet","söderslättsgymnasiet",""
"251"," Trelleborg","trelleborg",""
"252","Free Dawit","free dawit",""
"253","Almega","almega",""
"254","Musikbolagens branschförening IFPI","musikbolagens branschförening ifpi",""
"255","Concord","concord",""
"256"," RFSU","rfsu",""
"257"," Kvinna till Kvinna","kvinna till kvinna",""
"258"," Röda Korset","röda korset",""
"259"," Latinamerikagrupperna","latinamerikagrupperna",""
"260"," SILC","silc",""
"261","Svenska Skolambassadörer för EU","svenska skolambassadörer för eu",""
"262","Sveriges Regering","sveriges regering",""
"263","Afrosvenskarnas Forum för Rättvisa","afrosvenskarnas forum för rättvisa",""
"264","European Retail Round Table","european retail round table",""
"265","Næringslivets Hovedorganisasjon","næringslivets hovedorganisasjon",""
"266","Svenskt Näringliv","svenskt näringliv",""
"267"," Dansk Industri","dansk industri",""
"268"," Næringslivets Hovedorganisasjon","næringslivets hovedorganisasjon",""
"269"," Finlands Näringsliv EK","finlands näringsliv ek",""
"270","We Effect","we effect",""
"271","Europafacken","europafacken",""
"272","Europeiska Rådet","europeiska rådet",""
"273","Svensk Handel","svensk handel",""
"274","Scandlines Danmark ApS 157062116194-88","scandlines danmark aps 157062116194 88",""
"275","Aito Hernandez Politico Journalist","aito hernandez politico journalist",""
"276","Bauernverband Schleswig-Holstein e.V. (73085531345-65)","bauernverband schleswig holstein e v 73085531345 65",""
"277","IHK Nord e.V. - Arbeitsgemeinschaft norddeutscher Industrie- und Handelskammern (IHK Nord) 006411421255-36","ihk nord e v arbeitsgemeinschaft norddeutscher industrie und handelskammern ihk nord 006411421255 36",""
"278","AK Landwirtschaft der deutschsprachigen Regionen","ak landwirtschaft der deutschsprachigen regionen",""
"279","AK Tirol","ak tirol",""
"280","Albanian opposition politician","albanian opposition politician",""
"281","FSG","fsg",""
"282"," Industriegewerkschaft Metall 757195013270-80","industriegewerkschaft metall 757195013270 80",""
"283","Alber & Geiger (67820416722-09) onbehalf of The Chemours Company (433904133145-65)","alber geiger 67820416722 09 onbehalf of the chemours company 433904133145 65",""
"284","Handelsverband Deutschland 31200871765-41","handelsverband deutschland 31200871765 41",""
"285","Deutscher Gewerkschaftsbund Region SH Nordwest","deutscher gewerkschaftsbund region sh nordwest",""
"286"," 07595112423-87","07595112423 87",""
"287","European Environmental Bureau","european environmental bureau",""
"288"," 06798511314-27","06798511314 27",""
"289","GruenderCube","gruendercube",""
"290","Future Ocean Network","future ocean network",""
"291"," Christian-Albrecht Universität zu Kiel","christian albrecht universität zu kiel",""
"292","Institut für Weltwirtschaft(IfW)","institut für weltwirtschaft ifw",""
"293"," 071476117686-50","071476117686 50",""
"294","Amnesty International","amnesty international",""
"295"," 11063928073-34","11063928073 34",""
"296","Bund deutscher Nordschleswiger","bund deutscher nordschleswiger",""
"297","Sydslesvigsk Vælgerforening (SSW)","sydslesvigsk vælgerforening ssw",""
"298","Alber&Geiger","alber geiger",""
"299","Deutscher Gewerkschaftsbund 07595112423-87","deutscher gewerkschaftsbund 07595112423 87",""
"300","AlgorithmWatch","algorithmwatch",""
"301"," European Policy CEnter","european policy center",""
"302"," Superrr Lab","superrr lab",""
"303"," eyeo","eyeo",""
"304","Alice Echtermann: Journalist","alice echtermann journalist",""
"305"," Natascha Strobl: Politikwissenschaftlerin","natascha strobl politikwissenschaftlerin",""
"306","Alicia Jensen","alicia jensen",""
"307"," American Chamber of Commerce to the European Union 5265780509-97","american chamber of commerce to the european union 5265780509 97",""
"308","WIFO - Österreichisches Institut für Wirtschaftsforschung(WIFO)","wifo österreichisches institut für wirtschaftsforschung wifo",""
"309"," 408679621888-24","408679621888 24",""
"310","Brachland Ensemble","brachland ensemble",""
"311"," 30988577529-37","30988577529 37",""
"312","European Women's lobby","european women s lobby",""
"313"," 85686156700-13","85686156700 13",""
"314","Climate Action Network","climate action network",""
"315"," 55888811123-49","55888811123 49",""
"316","DGB","dgb",""
"317","All Rail","all rail",""
"318","Alleanza delle Cooperative Italiane - Agroalimentare","alleanza delle cooperative italiane agroalimentare",""
"319","Scandilines 157062116194-88","scandilines 157062116194 88",""
"320","ALLEANZA DELLE COOPERATIVE","alleanza delle cooperative",""
"321"," FEDERCOOPESCA","federcoopesca",""
"322"," FEDERPESCA","federpesca",""
"323"," LEGACOOP","legacoop",""
"324","B.U.N.D.","b u n d",""
"325","Jacques Delors Institut - Berlin","jacques delors institut berlin",""
"326"," gemeinnützige GmbH (Delors Institut)","gemeinnützige gmbh delors institut",""
"327"," 303748317222-08","303748317222 08",""
"328","Alliance des Minerais","alliance des minerais",""
"329"," Minéraux et Métaux","minéraux et métaux",""
"330","Herr J. Singer","herr j singer",""
"331"," Bürgermeister Helgoland","bürgermeister helgoland",""
"332","NORDMETALL","nordmetall",""
"333"," Verband der Metall- und Elektroindustrie e.V.","verband der metall und elektroindustrie e v",""
"334","Alliance européenne des pêcheurs de loisir EAA (TR 60105502183-69)","alliance européenne des pêcheurs de loisir eaa tr 60105502183 69",""
"335"," Association européenne des fabricants et grossistes de matériel de pêche sportive EFTTA (TR 08955462188-48)","association européenne des fabricants et grossistes de matériel de pêche sportive eftta tr 08955462188 48",""
"336","Alliance for corporate transparency","alliance for corporate transparency",""
"337","Alliance for Corporate Transparency","alliance for corporate transparency",""
"338","Allianz pro Schiene","allianz pro schiene",""
"339","Netzwerk Steuergerechtigkeit","netzwerk steuergerechtigkeit",""
"340","ONE 26098317349-65","one 26098317349 65",""
"341"," non-gobermental youth organization","non gobermental youth organization",""
"342","Federal Union of European Nationalities (FUEN)","federal union of european nationalities fuen",""
"343"," 331310413543-50","331310413543 50",""
"344","Stadtteilforum Forum Sandberg","stadtteilforum forum sandberg",""
"345","IHK Nord","ihk nord",""
"346"," 006411421255-36","006411421255 36",""
"347","Citizens for Financial Justice","citizens for financial justice",""
"348","ALLIANZ-TIRIAC PENSII PRIVATE SOCIETATE DE ADMINISTRARE A FONDURILOR DE PENSII PRIVATE S.A.","allianz tiriac pensii private societate de administrare a fondurilor de pensii private s a",""
"349"," AEGON PENSII - SOCIETATE DE ADMINISTRARE A FONDURILOR DE PENSII PRIVATE S.A.","aegon pensii societate de administrare a fondurilor de pensii private s a",""
"350"," BCR PENSII","bcr pensii",""
"351"," SOCIETATE DE ADMINISTRARE A FONDURILOR DE PENSII PRIVATE S.A.","societate de administrare a fondurilor de pensii private s a",""
"352"," BRD SOCIETATE DE ADMINISTRARE A FONDURILOR DE PENSII PRIVATE S.A.","brd societate de administrare a fondurilor de pensii private s a",""
"353"," GENERALI SOCIETATE DE ADMINISTRARE A FONDURILOR DE PENSII PRIVATE S.A.","generali societate de administrare a fondurilor de pensii private s a",""
"354"," METROPOLITAN LIFE SOCIETATE DE ADMINISTRARE A UNUI FOND DE PENSII ADMINISTRAT PRIVAT S.A.","metropolitan life societate de administrare a unui fond de pensii administrat privat s a",""
"355"," NN PENSII SOCIETATE DE ADMINISTRARE A UNUI FOND DE PENSII ADMINISTRAT PRIVAT S.A.","nn pensii societate de administrare a unui fond de pensii administrat privat s a",""
"356","Think Tank Internet Commission","think tank internet commission",""
"357","Clemens Fuest President ifo Institute","clemens fuest president ifo institute",""
"358"," Ulrike Wolf","ulrike wolf",""
"359"," Director-General at the Bavarian Ministry of Economic Affairs","director general at the bavarian ministry of economic affairs",""
"360"," Regional Development and Energy","regional development and energy",""
"361","Deutscher Naturschutzring","deutscher naturschutzring",""
"362"," Dachverband der deutschen Natur-","dachverband der deutschen natur",""
"363"," Tier- und Umweltschutzverbände (DNR e.V.) Registriernummer: 98430135820-35","tier und umweltschutzverbände dnr e v registriernummer 98430135820 35",""
"364"," WWF Deutschland Registriernummer: 031571311716-04","wwf deutschland registriernummer 031571311716 04",""
"365"," Bund für Umwelt und Naturschutz Deutschland","bund für umwelt und naturschutz deutschland",""
"366"," Landesverband Hamburg Registriernummer: 628463234248-10","landesverband hamburg registriernummer 628463234248 10",""
"367"," Naturschutzbund Deutschland e.V. Registriernummer: 0285583802-96","naturschutzbund deutschland e v registriernummer 0285583802 96",""
"368","Sunrise Movement","sunrise movement",""
"369","Allied 4 startups","allied 4 startups",""
