"","full.name","regex"
"225","Mizuho Financial Group, Inc. (MHFG)","mizuho financial group, inc. (mhfg)"
"226","Texas Instruments Incorporated (TI)","texas instruments incorporated (ti)"
"227","Hochschulrektorenkonferenz (HRK)","hochschulrektorenkonferenz (hrk)"
"228","Duracell International, Inc. (Duracell)","duracell international, inc. (duracell)"
"229","S2 GRUPO DE INNOVACIÓN EN PROCESOS ORGANIZATIVOS, S.L.U. (S2 Grupo)","s2 grupo de innovación en procesos organizativos, s.l.u. (s2 grupo)"
"230","International Union of Economists and Managers in the EU (IUEMEU)","international union of economists and managers in the eu (iuemeu)"
"231","W-TECNIC S.L. WEBTRANS","w-tecnic s.l. webtrans"
"232","Women Entrepreneurs Association of Turkey (KAGIDER)","women entrepreneurs association of turkey (kagider)"
"233","SNTGN Transgaz Romania (TGN)","sntgn transgaz romania (tgn)"
"234","European Heating Oil Association (Eurofuel)","european heating oil association (eurofuel)"
"235","POSCO","posco"
"236","Hospodárská komora Ceské republiky (HK CR)","hospodárská komora ceské republiky (hk cr)"
"237","Viasat, Inc","viasat, inc"
"238","The Goldman Sachs Group, Inc. (GS)","the goldman sachs group, inc. (gs)"
"239","SES S.A. (SES)","ses s.a. (ses)"
"240","International Federation of Anthroposophic Medical Associations (IVAA)","international federation of anthroposophic medical associations (ivaa)"
"241","Bundesvereinigung der Deutschen Arbeitgeberverbände e.V. (BDA)","bundesvereinigung der deutschen arbeitgeberverbände e.v. (bda)"
"242","Pôle de compétitivité OPTITEC (OPTITEC)","pôle de compétitivité optitec (optitec)"
"243","International Centre for Migration Policy Development (ICMPD)","international centre for migration policy development (icmpd)"
"244","APURE (URE)","apure (ure)"
"245","Deliveroo","deliveroo"
"246","Climate Disclosure Standards Board (CDSB)","climate disclosure standards board (cdsb)"
"247","LyondellBasell Industries N.V. (LYB)","lyondellbasell industries n.v. (lyb)"
"248","Ericsson","ericsson"
"249","Belgo Peru Chamber of Commerce (BPCC)","belgo peru chamber of commerce (bpcc)"
"250","Time for Lyme ASBL (TFL)","time for lyme asbl (tfl)"
"251","Energiföretagen /  Swedenergy","energiföretagen /  swedenergy"
"252","GreenHydrogen.dk (GH)","greenhydrogen.dk (gh)"
"253","Estonian Environmental Law Center (EELC)","estonian environmental law center (eelc)"
"254","Brazilian Sugarcane Industry Association (UNICA)","brazilian sugarcane industry association (unica)"
"255","Zentiva Group, a.s. (Zentiva)","zentiva group, a.s. (zentiva)"
"256","A.P. Møller - Mærsk A/S (APMM)","a.p. møller - mærsk a/s (apmm)"
"257","Committee to Protect Journalists (CPJ)","committee to protect journalists (cpj)"
"258","Red Hat Limited (Red Hat)","red hat limited (red hat)"
"259","European Federation for Complementary and Alternative Medicine (EFCAM)","european federation for complementary and alternative medicine (efcam)"
"260","Irish Funds Industry Association CLG (Irish Funds)","irish funds industry association clg (irish funds)"
"261","EuroWindoor AISBL (EuroWindoor)","eurowindoor aisbl (eurowindoor)"
"262","ABB","abb"
"263","European Federation of Energy Traders (EFET)","european federation of energy traders (efet)"
"264","FacilityLive OpCo (FacilityLive)","facilitylive opco (facilitylive)"
"265","DeHavilland Information Services Limited","dehavilland information services limited"
"266","Polish Electricity Association (PKEE)","polish electricity association (pkee)"
"267","National Grid Electricity System Operator (NGESO)","national grid electricity system operator (ngeso)"
"268","association européenne de la pensée libre (AEPL-EU)","association européenne de la pensée libre (aepl-eu)"
"269","Overseas Countries and Territories Association (OCTA)","overseas countries and territories association (octa)"
"270","Statkraft AS (Statkraft)","statkraft as (statkraft)"
"271","Air Traffic Controllers European Unions Coordination (ATCEUC)","air traffic controllers european unions coordination (atceuc)"
"272","Manufacturing Academy of Denmark (MADE)","manufacturing academy of denmark (made)"
"273","VISDA - Visuelle Rettigheder i Danmark S/I (VISDA)","visda - visuelle rettigheder i danmark s/i (visda)"
"274","International Federation of Medical Students' Associations (IFMSA)","international federation of medical students' associations (ifmsa)"
"275","Ceská bankovní asociace (CBA)","ceská bankovní asociace (cba)"
"276","Kellogg Company","kellogg company"
"277","Carrier","carrier"
"278","AIG Europe S.A. (AIG)","aig europe s.a. (aig)"
"279","Kimberly-Clark Corporation (K-C)","kimberly-clark corporation (k-c)"
"280","The Pew Charitable Trusts (Pew)","the pew charitable trusts (pew)"
"281","AUTOBAHNEN- UND SCHNELLSTRASSEN-FINANZIERUNGS- AKTIENGESELLSCHAFT (ASFINAG)","autobahnen- und schnellstrassen-finanzierungs- aktiengesellschaft (asfinag)"
"282","Ausstellungs- und Messe-Ausschuss der Deutschen Wirtschaft e.V. (AUMA)","ausstellungs- und messe-ausschuss der deutschen wirtschaft e.v. (auma)"
"283","The Federation of European manufacturers of Cookware and cutlery (FEC)","the federation of european manufacturers of cookware and cutlery (fec)"
"284","Instytut na rzecz Kultury Prawnej Ordo Iuris (Instytut Ordo Iuris)","instytut na rzecz kultury prawnej ordo iuris (instytut ordo iuris)"
"285","CRV Holding BV (CRV)","crv holding bv (crv)"
"286","Energi Norge (Energy Norway)","energi norge (energy norway)"
"287","european consensus-platform for alternatives (ecopa)","european consensus-platform for alternatives (ecopa)"
"288","European Skippers Organisation - vzw (ESO)","european skippers organisation - vzw (eso)"
"289","European Heart Network (EHN)","european heart network (ehn)"
"290","Sanátor - svaz biotroniku Josefa Zezulky (KoS)","sanátor - svaz biotroniku josefa zezulky (kos)"
"291","Finanssektorens Arbejdsgiverforening (FA)","finanssektorens arbejdsgiverforening (fa)"
"292","Eesti Tööandjate Keskliit (ETKL)","eesti tööandjate keskliit (etkl)"
"293","Fondet til bekæmpelse af AIDS","fondet til bekæmpelse af aids"
"294","Aircraft Fleet Recycling Association (AFRA)","aircraft fleet recycling association (afra)"
"295","Colt Group S.A","colt group s.a"
"296","World Shipping Council (WSC)","world shipping council (wsc)"
"297","Österreichischer Gewerkschaftsbund (ÖGB)","österreichischer gewerkschaftsbund (ögb)"
"298","Association européenne des transformateurs de maïs doux (AETMD)","association européenne des transformateurs de maïs doux (aetmd)"
"299","TUI AG","tui ag"
"300","European University Continuing Education Network (EUCEN)","european university continuing education network (eucen)"
"301","Federazione Nazionale delle Imprese di Pesca (FEDERPESCA)","federazione nazionale delle imprese di pesca (federpesca)"
"302","Damen Shipyards Group (Damen)","damen shipyards group (damen)"
"303","Electronic Money Association (EMA)","electronic money association (ema)"
"304","garagErasmus foundation (garagErasmus)","garagerasmus foundation (garagerasmus)"
"305","European Social Insurance Platform AISBL (ESIP)","european social insurance platform aisbl (esip)"
"306","Eurogroup for Animals","eurogroup for animals"
"307","International Federation of Industrial Energy Consumers (IFIEC Europe)","international federation of industrial energy consumers (ifiec europe)"
"308","FORENINGEN AF RÅDGIVENDE INGENIØRER (FRI)","foreningen af rådgivende ingeniører (fri)"
"309","UNION OF INTERNATIONAL HAULERS (UIH)","union of international haulers (uih)"
"310","AS LHV Pank (LHV)","as lhv pank (lhv)"
"311","NGV Global (NGVGlobal)","ngv global (ngvglobal)"
"312","Vestas Wind Systems A/S","vestas wind systems a/s"
"313","CZECH CONSUMER ASSOCIATION - SDRUŽENÍ CESKÝCH SPOTREBITELU (SCS)","czech consumer association - sdružení ceských spotrebitelu (scs)"
"314","Port of Tallinn","port of tallinn"
"315","General Electric Company (GE)","general electric company (ge)"
"316","Quintet Private Bank (Europe)","quintet private bank (europe)"
"317","Malaysian Palm Oil Council (MPOC)","malaysian palm oil council (mpoc)"
"318","RTL Group (RTL)","rtl group (rtl)"
"319","Gates Ventures, LLC","gates ventures, llc"
"320","Landwirtschaftskammer Österreich (LKÖ)","landwirtschaftskammer österreich (lkö)"
"321","CCI France (CCI France)","cci france (cci france)"
"322","Marine Stewardship Council (MSC)","marine stewardship council (msc)"
"323","Booking.com B.V.","booking.com b.v."
"324","FERROVIE DELLO STATO ITALIANE S.p.A. (FSI)","ferrovie dello stato italiane s.p.a. (fsi)"
"325","Independent Retail Europe (formerly UGAL - Union of Groups of Independent Retailers of Europe)","independent retail europe (formerly ugal - union of groups of independent retailers of europe)"
"326","OLTIS Group a.s. (OLTIS Group)","oltis group a.s. (oltis group)"
"327","TATE International, s.r.o. (TATE)","tate international, s.r.o. (tate)"
"328","The European Chamber of Commerce in Hong Kong (ECC)","the european chamber of commerce in hong kong (ecc)"
"329","Skeleton Technologies OÜ (SKL)","skeleton technologies oü (skl)"
"330","The Western Union Company (WU)","the western union company (wu)"
"331","Laboratory Corporation of America Holdings (LabCorp)","laboratory corporation of america holdings (labcorp)"
"332","International Swaps and Derivatives Association (ISDA)","international swaps and derivatives association (isda)"
"333","Salesforce","salesforce"
"334","Transparency International (TI)","transparency international (ti)"
"335","ZF Friedrichshafen AG","zf friedrichshafen ag"
"336","Verband Insolvenzverwalter Deutschlands (VID)","verband insolvenzverwalter deutschlands (vid)"
"337","UNIONE CAMERE ESPERTI EUROPEI (UCEE)","unione camere esperti europei (ucee)"
"338","Big Data Value AISBL (BDVA)","big data value aisbl (bdva)"
"339","Intrum","intrum"
"340","Platform of European Memory and Conscience (PEMC)","platform of european memory and conscience (pemc)"
"341","MinervaX","minervax"
"342","Spotrebitelské fórum","spotrebitelské fórum"
"343","Eesti Keemiatööstsue Liit (EKTL)","eesti keemiatööstsue liit (ektl)"
"344","Ceská spolecnost AIDS pomoc, z.s. (CSAP)","ceská spolecnost aids pomoc, z.s. (csap)"
"345","Holo","holo"
"346","Svaz obchodu a cestovního ruchu CR (SOCR CR)","svaz obchodu a cestovního ruchu cr (socr cr)"
"347","Alipay (Europe) Limited S.A.","alipay (europe) limited s.a."
"348","Internet Corporation for Assigned Names and Numbers (ICANN)","internet corporation for assigned names and numbers (icann)"
"349","Becton Dickinson (BD)","becton dickinson (bd)"
"350","Mozilla Corporation","mozilla corporation"
"351","Arton Capital","arton capital"
"352","Fédération Nationale des Producteurs de Chanvre (FNPC)","fédération nationale des producteurs de chanvre (fnpc)"
"353","RENAULT","renault"
"354","Medtronic (Medtronic)","medtronic (medtronic)"
"355","Confederation of Finnish Industries EK (EK)","confederation of finnish industries ek (ek)"
"356","The Society of Motor Manufacturers and Traders Ltd. (SMMT)","the society of motor manufacturers and traders ltd. (smmt)"
"357","Koppert Biological Systems","koppert biological systems"
"358","The Kraft Heinz Company","the kraft heinz company"
"359","Chamber of Commerce and Industry of Serbia (CCIS)","chamber of commerce and industry of serbia (ccis)"
